date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:51	20479/20479	U--MCZ	200	updated ('OK')	text/html	etag:W/%22693ebdc22fd910b29d0eda542b49e639%22	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/211531502425.html	(from )
03:23:51	0/0	U-----	200	untouched ('OK')	text/plain	etag:%225c7f02fd-0%22	https://preview.themeforest.net/robots.txt		(from )
03:23:52	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2014%20Mar%202019%2003:23:54%20GMT	http://s3.envato.com/	C:/My%20Web%20Sites/SmartHR2/s3.envato.com/index.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:53	190072/190072	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202019%2022:52:38%20GMT	https://public-assets.envato-static.com/assets/market/core/index-a38bf5e5a69c279f522d3b417e7542e5d1cbc7d653efb7fd9d63ac4036312ac6.css	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/core/index-a38bf5e5a69c279f522d3b417e7542e5d1cbc7d653efb7fd9d63ac4036312ac6.css	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:53	6700/6700	U-----	200	untouched ('')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:53	1977/1977	U-----	200	untouched ('OK')	text/css	date:Fri,%2025%20Jan%202019%2002:53:21%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:53	9251/9251	U-----	200	untouched ('')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:53	3056/3056	U-----	200	untouched ('')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:54	132914/132914	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Mar%202019%2022:52:56%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-212bf71ee40bef81ab31322c82c7357847ede126dcc76b32e47da0b7dba8911f.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-212bf71ee40bef81ab31322c82c7357847ede126dcc76b32e47da0b7dba8911f.js	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:55	9251/9251	U-----	200	untouched ('')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:23:55	24084/24084	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2014%20Mar%202019%2003:23:57%20GMT	https://dreamguys.co.in/smarthr/	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/index.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
